Ex,No,Item,Reflexive,Feature,Attractor,Surprisal
3A,1,The male photographer that the famous actor praised depicted [MASK] as a strict person.,himself,0F,M,2.803324837
3A,1,The male photographer that the famous actor praised depicted [MASK] as strict person.,herself,1F,MM,4.473568347
3A,1,The male photographers that the famous actor praised depicted [MASK] as strict persons.,herself,2F,MM,8.518394205
3A,1,The male photographer that the famous actress praised depicted [MASK] as a strict person.,himself,0F,MM,3.195700573
3A,1,The male photographer that the famous actress praised depicted [MASK] as strict person.,herself,1F,M,3.807000714
3A,1,The male photographers that the famous actress praised depicted [MASK] as strict persons.,herself,2F,M,7.049074278
3A,2,The male factory worker that the male senator mentioned inspired [MASK] to be a better person.,himself,0F,M,6.787300187
3A,2,The male factory worker that the male senator mentioned inspired [MASK] to be better persons.,herself,1F,MM,8.935388724
3A,2,The male factory workers that the male senator mentioned inspired [MASK] to be better persons.,herself,2F,MM,9.763090606
3A,2,The male factory worker that the female senator mentioned inspired [MASK] to be a better person.,himself,0F,MM,7.80540177
3A,2,The male factory worker that the female senator mentioned inspired [MASK] to be better persons.,herself,1F,M,7.794991859
3A,2,The male factory workers that the female senator mentioned inspired [MASK] to be better persons.,herself,2F,M,8.280999247
3A,3,The male bank robber that the male officer mentioned criticized [MASK] for the noticeable error.,himself,0F,M,3.837416917
3A,3,The male bank robber that the male officer mentioned criticized [MASK] for the noticeable error.,herself,1F,MM,6.862622316
3A,3,The male bank robbers that the male officer mentioned criticized [MASK] for the noticeable error.,herself,2F,MM,7.509160643
3A,3,The male bank robber that the female officer mentioned criticized [MASK] for the noticeable error.,himself,0F,MM,4.290652656
3A,3,The male bank robber that the female officer mentioned criticized [MASK] for the noticeable error.,herself,1F,M,6.281278962
3A,3,The male bank robbers that the female officer mentioned criticized [MASK] for the noticeable error.,herself,2F,M,6.932391056
3A,4,The male photographer that the male director introduced described [MASK] as a mean person.,himself,0F,M,3.057220858
3A,4,The male photographer that the male director introduced described [MASK] as mean persons.,herself,1F,MM,7.808963581
3A,4,The male photographers that the male director introduced described [MASK] as mean persons.,herself,2F,MM,7.260241867
3A,4,The male photographer that the female director introduced described [MASK] as a mean person.,himself,0F,MM,3.272105488
3A,4,The male photographer that the female director introduced described [MASK] as mean persons.,herself,1F,M,6.969994193
3A,4,The male photographers that the female director introduced described [MASK] as mean persons.,herself,2F,M,6.423790482
3A,5,The male speaker that the male democratic official introduced distinguished [MASK] as an honorable person.,himself,0F,M,0.640268851
3A,5,The male speaker that the male democratic official introduced distinguished [MASK] as honorable persons.,herself,1F,MM,5.414978351
3A,5,The male speakers that the male democratic official introduced distinguished [MASK] as honorable persons.,herself,2F,MM,6.938680328
3A,5,The male speaker that the female democratic official introduced distinguished [MASK] as an honorable person.,himself,0F,MM,0.74584552
3A,5,The male speaker that the female democratic official introduced distinguished [MASK] as honorable persons.,herself,1F,M,4.490402594
3A,5,The male speakers that the female democratic official introduced distinguished [MASK] as honorable persons.,herself,2F,M,5.996681488
3A,6,The male manager that the male journalist mentioned characterized [MASK] as a helpful person.,himself,0F,M,3.354309622
3A,6,The male manager that the male journalist mentioned characterized [MASK] as helpful persons.,herself,1F,MM,6.144700058
3A,6,The male managers that the male journalist mentioned characterized [MASK] as helpful persons.,herself,2F,MM,6.402736861
3A,6,The male manager that the female journalist mentioned characterized [MASK] as a helpful person.,himself,0F,MM,3.532798306
3A,6,The male manager that the female journalist mentioned characterized [MASK] as helpful persons.,herself,1F,M,5.695895164
3A,6,The male managers that the female journalist mentioned characterized [MASK] as helpful persons.,herself,2F,M,6.047280168
3A,7,The male lawyer that the male witness pointed out misrepresented [MASK] in the murder trial.,himself,0F,M,0.459816057
3A,7,The male lawyer that the male witness pointed out misrepresented [MASK] in the murder trial.,herself,1F,MM,2.860598682
3A,7,The male lawyers that the male witness pointed out misrepresented [MASK] in the murder trial.,herself,2F,MM,5.183497662
3A,7,The male lawyer that the female witness pointed out misrepresented [MASK] in the murder trial.,himself,0F,MM,0.713013924
3A,7,The male lawyer that the female witness pointed out misrepresented [MASK] in the murder trial.,herself,1F,M,1.760645201
3A,7,The male lawyers that the female witness pointed out misrepresented [MASK] in the murder trial.,herself,2F,M,4.186191321
3A,8,The male film director that the actor worried about would portray [MASK] as a dumb person.,himself,0F,M,2.100930642
3A,8,The male film director that the actor worried about would portray [MASK] as dumb persons.,herself,1F,MM,8.585257629
3A,8,The male film directors that the actor worried about would portray [MASK] as dumb persons.,herself,2F,MM,9.240134508
3A,8,The male film director that the actress worried about would portray [MASK] as a dumb person.,himself,0F,MM,3.109887288
3A,8,The male film director that the actress worried about would portray [MASK] as dumb persons.,herself,1F,M,6.507818908
3A,8,The male film directors that the actress worried about would portray [MASK] as dumb persons.,herself,2F,M,7.17254222
3A,9,The male clerk that the male executive mentioned described [MASK] as a hard worker.,himself,0F,M,2.962271988
3A,9,The male clerk that the male executive mentioned described [MASK] as hard worker.,herself,1F,MM,3.436912252
3A,9,The male clerks that the male executive mentioned described [MASK] as hard workers.,herself,2F,MM,7.527631744
3A,9,The male clerk that the female executive mentioned described [MASK] as a hard worker.,himself,0F,MM,3.267809987
3A,9,The male clerk that the female executive mentioned described [MASK] as hard worker.,herself,1F,M,2.97463121
3A,9,The male clerks that the female executive mentioned described [MASK] as hard workers.,herself,2F,M,6.912795737
3A,10,The male stock broker that the male banker praised cast [MASK] in a negative light.,himself,0F,M,2.863231445
3A,10,The male stock broker that the male banker praised cast [MASK] in a negative light.,herself,1F,MM,4.520693163
3A,10,The male stock brokers that the male banker praised cast [MASK] in a negative light.,herself,2F,MM,6.56297207
3A,10,The male stock broker that the female banker praised cast [MASK] in a negative light.,himself,0F,MM,3.154667147
3A,10,The male stock broker that the female banker praised cast [MASK] in a negative light.,herself,1F,M,3.885341429
3A,10,The male stock brokers that the female banker praised cast [MASK] in a negative light.,herself,2F,M,5.585151029
3A,11,The male photographer that the actor talked about depicted [MASK] as a strong person.,himself,0F,M,2.053124572
3A,11,The male photographer that the actor talked about depicted [MASK] as strong persons.,herself,1F,MM,6.277927974
3A,11,The male photographers that the actor talked about depicted [MASK] as strong persons.,herself,2F,MM,7.637782069
3A,11,The male photographer that the actress talked about depicted [MASK] as a strong person.,himself,0F,MM,3.185722232
3A,11,The male photographer that the actress talked about depicted [MASK] as strong persons.,herself,1F,M,4.953422885
3A,11,The male photographers that the actress talked about depicted [MASK] as strong persons.,herself,2F,M,6.129760368
3A,12,The male correspondent that the male soldier thought of portrayed [MASK] as a great leader.,himself,0F,M,2.168006102
3A,12,The male correspondent that the male soldier thought of portrayed [MASK] as great leaders.,herself,1F,MM,8.18589339
3A,12,The male correspondents that the male soldier thought of portrayed [MASK] as great leaders.,herself,2F,MM,8.306561024
3A,12,The male correspondent that the female soldier thought of portrayed [MASK] as a great leader.,himself,0F,MM,2.58421603
3A,12,The male correspondent that the female soldier thought of portrayed [MASK] as great leaders.,herself,1F,M,6.476144957
3A,12,The male correspondents that the female soldier thought of portrayed [MASK] as great leaders.,herself,2F,M,6.247105888
3A,13,The attractive actor that the male audience mentioned praised [MASK] for a great job.,himself,0F,M,5.411389062
3A,13,The attractive actor that the male audience mentioned praised [MASK] for a great job.,herself,1F,MM,6.79674385
3A,13,The attractive actors that the male audience mentioned praised [MASK] for a great job.,herself,2F,MM,6.909995654
3A,13,The attractive actor that the female audience mentioned praised [MASK] for a great job.,himself,0F,MM,5.902455047
3A,13,The attractive actor that the female audience mentioned praised [MASK] for a great job.,herself,1F,M,6.470509429
3A,13,The attractive actors that the female audience mentioned praised [MASK] for a great job.,herself,2F,M,6.509038201
3A,14,The male witness that the male security guard mentioned identified [MASK] as a potential suspect.,himself,0F,M,2.114619428
3A,14,The male witness that the male security guard mentioned identified [MASK] as potential suspects.,herself,1F,MM,6.885841079
3A,14,The male witnesses that the male security guard mentioned identified [MASK] as potential suspects.,herself,2F,MM,8.04544117
3A,14,The male witness that the female security guard mentioned identified [MASK] as a potential suspect.,himself,0F,MM,2.279104951
3A,14,The male witness that the female security guard mentioned identified [MASK] as potential suspects.,herself,1F,M,5.019653463
3A,14,The male witnesses that the female security guard mentioned identified [MASK] as potential suspects.,herself,2F,M,6.436441699
3A,15,The male singer that the male manager liked inspired [MASK] to write a new song.,himself,0F,M,7.965298779
3A,15,The male singer that the male manager liked inspired [MASK] to write a new song.,herself,1F,MM,8.243659785
3A,15,The male singers that the male manager liked inspired [MASK] to write a new song.,herself,2F,MM,8.43275052
3A,15,The male singer that the female manager liked inspired [MASK] to write a new song.,himself,0F,MM,8.530161301
3A,15,The male singer that the female manager liked inspired [MASK] to write a new song.,herself,1F,M,8.07409212
3A,15,The male singers that the female manager liked inspired [MASK] to write a new song.,herself,2F,M,8.186421847
3A,16,The male witness that the male judge spoke to convinced [MASK] that the testimony was false.,himself,0F,M,4.526554272
3A,16,The male witness that the male judge spoke to convinced [MASK] that the testimony was false.,herself,1F,MM,7.043347991
3A,16,The male witnesses that the male judge spoke to convinced [MASK] that the testimony was false.,herself,2F,MM,8.014440257
3A,16,The male witness that the female judge spoke to convinced [MASK] that the testimony was false.,himself,0F,MM,4.924991817
3A,16,The male witness that the female judge spoke to convinced [MASK] that the testimony was false.,herself,1F,M,6.069738601
3A,16,The male witnesses that the female judge spoke to convinced [MASK] that the testimony was false.,herself,2F,M,7.009450137
3A,17,The male officer that the male protester mentioned prevented [MASK] from joining the unsafe protest.,himself,0F,M,5.3377178
3A,17,The male officer that the male protester mentioned prevented [MASK] from joining the unsafe protest.,herself,1F,MM,6.498857722
3A,17,The male officers that the male protester mentioned prevented [MASK] from joining the unsafe protest.,herself,2F,MM,7.228422519
3A,17,The male officer that the female protester mentioned prevented [MASK] from joining the unsafe protest.,himself,0F,MM,5.625654964
3A,17,The male officer that the female protester mentioned prevented [MASK] from joining the unsafe protest.,herself,1F,M,6.382189464
3A,17,The male officers that the female protester mentioned prevented [MASK] from joining the unsafe protest.,herself,2F,M,7.064593711
3A,18,The male senator that the male official mentioned should appoint [MASK] as the new county commissioner.,himself,0F,M,1.431360883
3A,18,The male senator that the male official mentioned should appoint [MASK] as the new county commissioner.,herself,1F,MM,3.842991998
3A,18,The male senators that the male official mentioned should appoint [MASK] as the new county commissioner.,herself,2F,MM,4.95770064
3A,18,The male senator that the female official mentioned should appoint [MASK] as the new county commissioner.,himself,0F,MM,1.804377733
3A,18,The male senator that the female official mentioned should appoint [MASK] as the new county commissioner.,herself,1F,M,2.79698669
3A,18,The male senators that the female official mentioned should appoint [MASK] as the new county commissioner.,herself,2F,M,3.929555504
3A,19,The mischievous schoolboy that the male librarian liked tricked [MASK] into believing that the story was true.,himself,0F,M,4.039957328
3A,19,The mischievous schoolboy that the male librarian liked tricked [MASK] into believing that the story was true.,herself,1F,MM,6.871847976
3A,19,The mischievous schoolboys that the male librarian liked tricked [MASK] into believing that the story was true.,herself,2F,MM,7.397289332
3A,19,The mischievous schoolboy that the female librarian liked tricked [MASK] into believing that the story was true.,himself,0F,MM,4.468318481
3A,19,The mischievous schoolboy that the female librarian liked tricked [MASK] into believing that the story was true.,herself,1F,M,6.332663188
3A,19,The mischievous schoolboys that the female librarian liked tricked [MASK] into believing that the story was true.,herself,2F,M,6.696195962
3A,20,The male lawyer that the male manager mentioned defended [MASK] in the court case.,himself,0F,M,2.329982071
3A,20,The male lawyer that the male manager mentioned defended [MASK] in the court case.,herself,1F,MM,3.546778875
3A,20,The male lawyers that the male manager mentioned defended [MASK] in the court case.,herself,2F,MM,4.502665966
3A,20,The male lawyer that the female manager mentioned defended [MASK] in the court case.,himself,0F,MM,2.638795245
3A,20,The male lawyer that the female manager mentioned defended [MASK] in the court case.,herself,1F,M,2.952503612
3A,20,The male lawyers that the female manager mentioned defended [MASK] in the court case.,herself,2F,M,4.042295488
3A,21,The male patient that the male doctor mentioned considered [MASK] to be very attractive.,himself,0F,M,3.090663932
3A,21,The male patient that the male doctor mentioned considered [MASK] to be very attractive.,herself,1F,MM,3.44574211
3A,21,The male patients that the male doctor mentioned considered [MASK] to be very attractive.,herself,2F,MM,5.187699623
3A,21,The male patient that the female doctor mentioned considered [MASK] to be very attractive.,himself,0F,MM,3.057320695
3A,21,The male patient that the female doctor mentioned considered [MASK] to be very attractive.,herself,1F,M,3.139517916
3A,21,The male patients that the female doctor mentioned considered [MASK] to be very attractive.,herself,2F,M,4.935543615
3A,22,The male chef that the clumsy waiter mentioned criticized [MASK] for the horrible mistake.,himself,0F,M,4.540608223
3A,22,The male chef that the clumsy waiter mentioned criticized [MASK] for the horrible mistake.,herself,1F,MM,5.974081793
3A,22,The male chefs that the clumsy waiter mentioned criticized [MASK] for the horrible mistake.,herself,2F,MM,6.275559791
3A,22,The male chef that the clumsy waitress mentioned criticized [MASK] for the horrible mistake.,himself,0F,MM,5.247088086
3A,22,The male chef that the clumsy waitress mentioned criticized [MASK] for the horrible mistake.,herself,1F,M,5.394515301
3A,22,The male chefs that the clumsy waitress mentioned criticized [MASK] for the horrible mistake.,herself,2F,M,5.620320554
3A,23,The male priest that the male child mentioned forgave [MASK] for the secret affair.,himself,0F,M,3.910978199
3A,23,The male priest that the male child mentioned forgave [MASK] for the secret affair.,herself,1F,MM,5.440916983
3A,23,The male priests that the male child mentioned forgave [MASK] for the secret affair.,herself,2F,MM,5.399880038
3A,23,The male priest that the female child mentioned forgave [MASK] for the secret affair.,himself,0F,MM,3.794447411
3A,23,The male priest that the female child mentioned forgave [MASK] for the secret affair.,herself,1F,M,5.320540831
3A,23,The male priests that the female child mentioned forgave [MASK] for the secret affair.,herself,2F,M,5.280949658
3A,24,The male gardener that the male mail carrier worried about would blame [MASK] for the accident in the driveway.,himself,0F,M,2.831465126
3A,24,The male gardener that the male mail carrier worried about would blame [MASK] for the accident in the driveway.,herself,1F,MM,4.540679277
3A,24,The male gardeners that the male mail carrier worried about would blame [MASK] for the accident in the driveway.,herself,2F,MM,5.294496586
3A,24,The male gardener that the female mail carrier worried about would blame [MASK] for the accident in the driveway.,himself,0F,MM,2.961607097
3A,24,The male gardener that the female mail carrier worried about would blame [MASK] for the accident in the driveway.,herself,1F,M,4.076282554
3A,24,The male gardeners that the female mail carrier worried about would blame [MASK] for the accident in the driveway.,herself,2F,M,4.672292363
3A,25,The male colleague that the pool boy mentioned distracted [MASK] from the important task.,himself,0F,M,5.717724545
3A,25,The male colleague that the pool boy mentioned distracted [MASK] from the important task.,herself,1F,MM,7.088658488
3A,25,The male colleagues that the pool boy mentioned distracted [MASK] from the important task.,herself,2F,MM,7.349642772
3A,25,The male colleague that the pool girl mentioned distracted [MASK] from the important task.,himself,0F,MM,6.130093899
3A,25,The male colleague that the pool girl mentioned distracted [MASK] from the important task.,herself,1F,M,6.588558502
3A,25,The male colleagues that the pool girl mentioned distracted [MASK] from the important task.,herself,2F,M,6.904857206
